id_usuario,dia_ganancias,ganancias_MXN,ganancias_USD,ganancias_CAD,ganancias_EUR
88,2025-01-16,198,-834,280,-923
44,2025-03-07,264,691,429,428
6,2025-03-05,115,-850,860,-87
55,2025-01-22,23,-262,792,-459
63,2025-03-24,-794,-446,-406,622
89,2025-03-22,-596,-71,-389,-136
20,2025-02-21,114,704,187,902
72,2025-03-26,826,-775,-121,-152
90,2025-03-26,480,595,628,-423
4,2025-01-05,-585,-747,-666,165
10,2025-03-05,-734,-645,568,-293
5,2025-02-12,246,957,97,476
12,2025-01-17,867,-771,-460,-532
82,2025-03-21,-950,570,560,741
4,2025-03-01,-145,318,79,-847
66,2025-02-10,-80,-605,471,273
35,2025-03-19,-850,-93,249,-149
36,2025-03-24,-507,-560,353,100
25,2025-04-02,-101,216,-563,300
43,2025-02-28,-255,58,-762,-226
83,2025-03-29,329,-475,-252,303
11,2025-03-05,478,-308,-560,-847
85,2025-02-17,574,-413,-461,967
51,2025-03-24,418,-879,-163,-946
58,2025-02-25,719,-70,-171,-877
70,2025-02-28,-511,322,-642,713
39,2025-02-22,-81,-396,257,-433
78,2025-01-03,-614,61,-927,-104
12,2025-03-07,585,-226,652,338
63,2025-01-15,-507,-811,953,-205
12,2025-02-28,907,-953,-723,173
91,2025-03-21,734,-447,507,-58
30,2025-03-22,145,805,535,366
53,2025-01-19,-210,-936,-801,-894
94,2025-01-07,209,-595,963,-190
91,2025-03-30,575,199,960,347
65,2025-01-30,352,-787,-605,38
12,2025-01-27,101,-232,-718,582
7,2025-01-28,839,-393,-859,-865
95,2025-03-05,693,441,934,-931
69,2025-03-02,11,949,-497,-855
63,2025-01-12,268,-665,117,346
31,2025-02-15,-556,-971,225,336
81,2025-02-06,936,-101,153,728
84,2025-03-22,-804,-561,-343,-968
51,2025-01-31,457,745,-675,-571
75,2025-03-18,374,284,-381,98
36,2025-01-17,-335,-307,79,-664
62,2025-04-01,843,-933,932,406
51,2025-02-18,786,32,595,273
46,2025-02-11,511,-474,-48,-98
25,2025-01-08,-278,768,-504,-904
12,2025-01-28,261,813,94,-855
94,2025-04-01,324,-1000,917,-675
48,2025-01-16,469,412,922,-253
44,2025-01-07,431,881,678,-602
76,2025-01-23,-929,929,-151,180
51,2025-01-21,-992,-463,11,-566
99,2025-01-22,-357,-514,545,12
69,2025-03-13,-19,898,-377,882
93,2025-02-23,914,-180,-230,389
49,2025-01-15,-853,-901,-831,-506
85,2025-02-01,353,767,-35,-594
83,2025-01-14,55,608,41,-684
82,2025-01-16,476,706,-445,-988
60,2025-01-05,-984,-126,-819,987
99,2025-03-05,687,-566,200,143
81,2025-01-17,-322,881,560,53
19,2025-02-25,-729,99,457,-26
79,2025-01-30,709,-319,-220,-307
26,2025-01-17,986,322,539,-250
71,2025-03-29,768,808,546,352
15,2025-03-29,-531,687,843,-55
62,2025-04-01,125,-572,-829,601
59,2025-01-09,-867,124,330,454
52,2025-01-18,-524,150,-442,869
32,2025-01-02,145,352,-392,-232
1,2025-03-22,59,652,-627,-471
79,2025-02-25,-183,-661,-268,-613
54,2025-01-01,-595,-373,-643,641
80,2025-01-30,53,846,656,741
2,2025-03-30,774,-421,467,-922
15,2025-02-23,-900,-751,818,875
20,2025-03-14,-358,-845,-175,-214
98,2025-03-26,65,-649,919,-330
77,2025-01-28,-913,-157,-434,-477
60,2025-01-19,-996,508,-560,-211
8,2025-03-02,-229,543,391,591
79,2025-03-12,83,-979,186,-297
71,2025-03-04,116,-255,587,-704
71,2025-02-28,-711,-213,481,-133
99,2025-02-14,-550,432,-869,-950
41,2025-01-17,276,165,315,-24
18,2025-02-26,659,-219,910,-964
73,2025-04-02,334,696,788,902
90,2025-01-01,346,522,-538,-218
10,2025-03-20,386,8,-534,-985
83,2025-03-12,-213,480,309,-908
82,2025-03-16,541,57,492,-560
96,2025-02-02,629,974,676,415
83,2025-01-27,-835,-326,125,325
33,2025-01-05,884,431,-772,-2
69,2025-03-16,-799,-167,-509,-827
1,2025-03-13,488,-768,523,-197
72,2025-03-10,320,-715,333,709
65,2025-02-03,-596,655,509,823
95,2025-02-26,507,492,-105,-817
83,2025-01-04,478,240,-960,82
85,2025-03-23,-342,-445,751,-723
73,2025-02-20,37,919,-985,568
67,2025-01-03,776,-70,536,688
38,2025-02-21,974,57,611,933
9,2025-04-01,-427,-978,-305,-566
60,2025-02-08,343,815,820,-520
61,2025-02-13,-331,-330,200,356
79,2025-01-18,-819,-64,-370,548
93,2025-01-15,-696,-403,-499,107
90,2025-04-01,-57,967,-44,-725
